model,ACC,AUC_OVO,G_Mean,CE,fit_time_s,predict_time_s,total_time_s,dataset,regime
LightGBM_Tuned,0.919129,0.992924,0.888744,0.293474,3.11,0.12,462.59,satimage,medium
XGBoost_Tuned,0.919647,0.9927,0.890664,0.231418,1.82,0.02,325.18,satimage,medium
AutoGluon_Default,1.0,1.0,1.0,4e-06,52.66,0.15,52.81,mushroom,medium
LightGBM_Tuned,1.0,1.0,1.0,1e-06,0.33,0.01,53.48,mushroom,medium
XGBoost_Tuned,1.0,1.0,1.0,0.000847,0.17,0.01,28.52,mushroom,medium
CatBoost_Tuned,0.974074,0.998981,0.975316,0.100146,0.5,0.01,177.75,anneal,small
CatBoost_Tuned,0.942786,0.907643,0.519747,0.148697,0.51,0.01,247.08,baseball,medium
CatBoost_Tuned,0.603139,0.860306,0.002665,1.00904,4.79,0.02,669.81,yeast,medium
CatBoost_Tuned,0.954023,0.994642,0.952574,0.123357,0.97,0.01,160.11,splice,medium
CatBoost_Tuned,0.99735,0.952415,0.000982,0.013781,4.94,0.02,762.95,hypothyroid,medium
LightGBM_Tuned,0.0,,0.0,,0.05,0.0,6.39,hiva_agnostic,medium
XGBoost_Tuned,0.0,,0.0,27.110497,1.14,0.01,82.59,hiva_agnostic,medium
CatBoost_Tuned,0.0,,0.0,27.056439,0.74,0.01,793.22,hiva_agnostic,medium
CatBoost_Tuned,0.949495,0.997481,0.948114,0.194218,10.08,0.02,1351.08,waveform-5000,medium
CatBoost_Tuned,0.975639,0.979544,0.870579,0.083408,3.06,0.02,501.99,page-blocks,medium
CatBoost_Tuned,0.981613,0.999803,0.981563,0.058837,6.0,0.02,802.51,optdigits,medium
CatBoost_Tuned,0.918611,0.992554,0.887348,0.205737,16.49,0.03,1596.87,satimage,medium
LightGBM_Tuned,0.0,,0.0,36.043653,0.02,0.01,4.4,isolet,medium
XGBoost_Tuned,0.0,,0.0,36.043653,0.26,0.0,30.67,isolet,medium
CatBoost_Tuned,1.0,1.0,1.0,0.000662,0.88,0.01,168.71,mushroom,medium
AutoGluon_Default,0.0,,0.0,,1277.46,2.74,1280.2,JapaneseVowels,medium
LightGBM_Tuned,0.030612,,0.0,28.735295,16.82,0.15,1097.34,JapaneseVowels,medium
XGBoost_Tuned,0.030612,,0.0,28.759354,19.16,0.05,3479.21,JapaneseVowels,medium
CatBoost_Tuned,0.040816,,0.0,28.791753,8.9,0.02,19606.18,JapaneseVowels,medium
AutoGluon_Default,0.995149,0.999606,0.99516,0.025435,765.74,0.17,765.91,pendigits,large
LightGBM_Tuned,0.990297,0.999553,0.990231,0.049986,4.48,0.34,854.58,pendigits,large
XGBoost_Tuned,0.9906,0.999464,0.990596,0.03777,5.68,0.14,648.35,pendigits,large
CatBoost_Tuned,0.990904,0.999467,0.990952,0.036004,6.25,0.03,1074.79,pendigits,large
AutoGluon_Default,0.99537,0.99591,0.00397,0.011278,381.6,0.43,382.03,nursery,large
LightGBM_Tuned,0.998457,0.999961,0.999061,0.003419,3.64,0.2,388.26,nursery,large
XGBoost_Tuned,0.999743,0.988265,0.003981,0.003636,1.85,0.06,260.94,nursery,large
CatBoost_Tuned,0.999743,1.0,0.003981,0.00688,2.67,0.02,284.94,nursery,large
AutoGluon_Default,0.973333,0.999827,0.97303,0.079664,1846.29,0.3,1846.58,letter,large
LightGBM_Tuned,0.97,0.999739,0.969599,0.114945,15.66,2.13,2938.72,letter,large
XGBoost_Tuned,0.964,0.999629,0.963567,0.113948,10.1,0.45,1846.19,letter,large
CatBoost_Tuned,0.9675,0.999759,0.967198,0.106351,24.72,0.11,2069.88,letter,large
AutoGluon_Default,0.1,,0.0,,132.26,0.03,132.29,houses,large
LightGBM_Tuned,0.1,,0.0,24.450435,0.49,0.01,11.28,houses,large
XGBoost_Tuned,0.1,,0.0,24.413811,3.25,0.01,259.89,houses,large
CatBoost_Tuned,0.15,,0.0,24.288191,230.19,0.03,15087.37,houses,large
AutoGluon_Default,0.950259,0.840656,0.474883,0.160539,529.55,2.65,532.21,Amazon_employee_access,large
LightGBM_Tuned,0.950463,0.837453,0.467615,0.1621,2.3,0.21,176.31,Amazon_employee_access,large
XGBoost_Tuned,0.95209,0.851734,0.530121,0.158792,2.34,0.13,148.97,Amazon_employee_access,large
CatBoost_Tuned,0.948428,0.817745,0.454013,0.168374,5.37,0.03,798.39,Amazon_employee_access,large
AutoGluon_Default,0.118397,,0.0,,2238.25,3.72,2241.97,KDDCup09_appetency,large
