task_id,dataset,model,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
37,diabetes,lightgbm,0.8349382716049383,0.7316017316017316,0.6146362971528592,0.513622662793741,0.0122846849999405,0.0033538179998231,0.0156385029997636
37,diabetes,xgboost,0.8480658436213991,0.7619047619047619,0.6913932971601797,0.4581601755494987,0.179504948000158,0.0106360620000032,0.1901410100001612
37,diabetes,catboost,0.8334979423868314,0.7532467532467533,0.6808974953522408,0.4789129391326723,2.2294902529999945,0.0020178419999865,2.231508094999981
37,diabetes,group_model,0.8379423868312758,0.7445887445887446,0.6756798131338121,0.4759427750452464,0.4719242940000185,1.166597247000027,1.6385215410000455
359955,blood-transfusion-service-center,lightgbm,0.7525990903183885,0.7822222222222223,0.495594627783352,0.4784531760261244,0.0229005870000946,0.0045257889998993,0.0274263759999939
359955,blood-transfusion-service-center,xgboost,0.763157894736842,0.76,1.0000000000000004e-06,0.4752328909572114,0.1876379709999582,0.0132400399998005,0.2008780109997587
359955,blood-transfusion-service-center,catboost,0.7637535196014729,0.7955555555555556,0.5868385358737825,0.4660862740650393,0.96051900700013,0.0015762960001666,0.9620953030002966
359955,blood-transfusion-service-center,group_model,0.7569309075157028,0.7822222222222223,0.5549704521224934,0.4873858183182253,0.4683703659998173,0.5140838149998217,0.982454180999639
15,breast-w,lightgbm,0.990438808373591,0.9476190476190476,0.9434493194430148,0.2869840481689221,0.1346308909999152,0.0064485220000278,0.1410794129999431
15,breast-w,xgboost,0.9926529790660228,0.9523809523809524,0.9504639091054836,0.1260054548297184,0.2729208590001235,0.0150948530001642,0.2880157120002877
15,breast-w,catboost,0.9906400966183574,0.9571428571428572,0.957427107756338,0.1275620215712266,1.2713282319998598,0.0021087120001084,1.2734369439999682
15,breast-w,group_model,0.9936594202898552,0.961904761904762,0.967517949335636,0.1046426989901722,0.4957869310001115,0.8765105459999631,1.3722974770000749
49,tic-tac-toe,lightgbm,1.0,1.0,1.0,0.0501957639072805,0.0241305889999239,0.0042983650000678,0.0284289539999917
49,tic-tac-toe,xgboost,1.0,1.0,1.0,0.0661577991778341,0.4787519270000757,0.0200154530000418,0.4987673800001175
49,tic-tac-toe,catboost,0.9998404255319148,0.9826388888888888,0.9746794344808964,0.110094859988584,2.895010489000015,0.0020775020000201,2.897087991000035
49,tic-tac-toe,group_model,0.9998936170212764,0.9826388888888888,0.9746794344808964,0.0450056785668675,0.4624875330000577,1.2044705199998589,1.6669580529999166
3484,oil_spill,lightgbm,0.8685185185185185,0.9574468085106383,0.4972144630058766,0.3557683830746608,0.0655689669999901,0.0065445120001186,0.0721134790001087
3484,oil_spill,xgboost,0.8447530864197531,0.9609929078014184,0.4981447060324421,0.1515067858200496,0.2506026739999925,0.0196952979999878,0.2702979719999803
3484,oil_spill,catboost,0.8895061728395062,0.9645390070921984,0.5752079602464348,0.1960596846334124,12.213140313000167,0.0043752149999818,12.217515528000147
3484,oil_spill,group_model,0.9018518518518518,0.9716312056737588,0.7044829992954381,0.1187454159210225,0.7289273770002183,2.6268950519997816,3.355822429
2,anneal,lightgbm,1.0,0.9962962962962963,0.9932426241055012,0.0080217521900463,0.8266582470000685,0.0428244409999933,0.8694826880000619
2,anneal,xgboost,0.9998786407766992,0.9962962962962963,0.9990272355121966,0.0354669915828884,1.0959683940000104,0.0809974250000777,1.1769658190000882
2,anneal,catboost,1.0,1.0,1.0,0.0126282508068552,4.2188121399999545,0.0050923250000778,4.223904465000032
2,anneal,group_model,1.0,1.0,1.0,0.0202331855868906,0.5084733859998778,1.8881221840001672,2.396595570000045
11,balance-scale,lightgbm,0.959366182541804,0.9202127659574468,0.6336399105816074,0.2376437915799466,0.1685846770001262,0.022288577999916,0.1908732550000422
11,balance-scale,xgboost,0.9502747334343166,0.925531914893617,0.4054801330382266,0.2620326266541115,0.6417630969999664,0.0447774680001202,0.6865405650000866
11,balance-scale,catboost,0.9563960913600048,0.9202127659574468,0.5069278325825262,0.2660064816797332,1.4795379639999735,0.0021645739998348,1.4817025379998086
11,balance-scale,group_model,1.0,0.9946808510638298,0.9961089100646544,0.0181034429601344,0.7068143629999213,1.108813358000134,1.8156277210000555
41,soybean,lightgbm,0.9983985598426794,0.926829268292683,0.9315347491422564,0.3231800098062798,0.4845036410001739,0.0453686830001061,0.5298723240002801
41,soybean,xgboost,0.9983751388072376,0.9219512195121952,0.9243951923199576,0.3981313671199201,1.7752571219998572,0.1338983549999284,1.9091554769997856
41,soybean,catboost,0.9991700215330278,0.9414634146341464,0.9604786072854716,0.4017735967619834,8.20964349399992,0.0116323110000848,8.221275805000005
41,soybean,group_model,0.9995776334984696,0.946341463414634,0.9482407659119446,0.103520167065626,0.4814497530001063,1.095648359000279,1.5770981120003853
3022,vowel,lightgbm,0.994350916573139,0.898989898989899,0.8953533491741188,0.35813457023004,0.3345962880002844,0.0368711470000562,0.3714674350003406
3022,vowel,xgboost,0.9878912582616288,0.8282828282828283,0.822845544721614,0.4961919908475254,2.4730068779999783,0.1379889280001407,2.610995806000119
3022,vowel,catboost,0.9984287317620651,0.9494949494949496,0.9481135769898692,0.2247322106239434,11.987248931000067,0.0132745550004074,12.000523486000477
3022,vowel,group_model,0.9999875296171592,0.9932659932659932,0.9931616111117548,0.0110978179750468,0.5238317560001633,2.903185809000206,3.4270175650003694
3512,synthetic_control,lightgbm,0.9999629629629628,0.9944444444444444,0.9943656740765192,0.0228207674387964,0.7168961760003185,0.0385573819999081,0.7554535580002266
3512,synthetic_control,xgboost,0.9988518518518518,0.9722222222222222,0.9715518862825784,0.1579082995050267,1.0351343419997647,0.0616513810000469,1.0967857229998117
3512,synthetic_control,catboost,0.999925925925926,0.9944444444444444,0.9943656740765192,0.0387135058005924,4.970404952999616,0.0057186510002793,4.976123603999895
3512,synthetic_control,group_model,1.0,1.0,1.0,0.0066664501317558,0.5021175859997129,1.0210379269997247,1.5231555129994376
3892,hiva_agnostic,lightgbm,0.7620098039215686,0.9637509850275807,0.29753282286605526,0.12267611495621074,0.4912759740000183,0.03142590500010556,0.5227018790001239
3892,hiva_agnostic,xgboost,0.7986746550472039,0.9684791174152876,0.4704406994580811,0.12019323975830344,2.3819134459999987,0.4310544470008608,2.8129678930008595
3892,hiva_agnostic,catboost,0.7866013071895424,0.966903073286052,0.5144957554275265,0.11778920714249576,1.9998727880001752,0.06608026300000347,2.0659530510001787
